Description,,Summary Amt.
Beginning balance as of 06/01/2025,,"15,000.00"
Total credits,,"24,726.46"
Total debits,,"-5,979.09"
Ending balance as of 05/31/2026,,"33,747.37"

Date,Description,Amount,Running Bal.
06/01/2025,Beginning balance as of 06/01/2025,,"15,000.00"
06/05/2025,Online Banking transfer from CHK Confirmation#,332.01,"15,332.01"
06/28/2025,INTEREST PAYMENT,15.63,"15,347.64"
07/05/2025,Online Banking transfer from CHK Confirmation#,303.60,"15,651.24"
07/28/2025,INTEREST PAYMENT,36.24,"15,687.48"
08/05/2025,Online Banking transfer from CHK Confirmation#,315.71,"16,003.19"
08/28/2025,INTEREST PAYMENT,24.91,"16,028.10"
09/05/2025,Online Banking transfer from CHK Confirmation#,542.71,"16,570.81"
09/24/2025,Online Banking transfer from CHK Confirmation#,"11,144.72","27,715.53"
09/28/2025,INTEREST PAYMENT,31.18,"27,746.71"
10/05/2025,Online Banking transfer from CHK Confirmation#,692.31,"28,439.02"
10/28/2025,INTEREST PAYMENT,39.22,"28,478.24"
11/05/2025,Online Banking transfer from CHK Confirmation#,515.53,"28,993.77"
11/28/2025,INTEREST PAYMENT,27.71,"29,021.48"
12/05/2025,Online Banking transfer from CHK Confirmation#,636.68,"29,658.16"
12/28/2025,INTEREST PAYMENT,44.52,"29,702.68"
01/05/2026,Online Banking transfer from CHK Confirmation#,469.65,"30,172.33"
01/28/2026,INTEREST PAYMENT,40.85,"30,213.18"
02/05/2026,Online Banking transfer from CHK Confirmation#,524.31,"30,737.49"
02/28/2026,INTEREST PAYMENT,27.66,"30,765.15"
03/05/2026,Online Banking transfer from CHK Confirmation#,761.63,"31,526.78"
03/18/2026,Online Banking transfer to CHK Confirmation#,"-5,979.09","25,547.69"
03/28/2026,INTEREST PAYMENT,28.29,"25,575.98"
04/05/2026,Online Banking transfer from CHK Confirmation#,570.29,"26,146.27"
04/28/2026,INTEREST PAYMENT,15.44,"26,161.71"
05/05/2026,Online Banking transfer from CHK Confirmation#,418.19,"26,579.90"
05/15/2026,Online Banking transfer from CHK Confirmation#,"7,140.28","33,720.18"
05/28/2026,INTEREST PAYMENT,27.19,"33,747.37"
